ticker,company_name,status,form,filing_date,accession_number,primary_industry,financial_fact_count,material_signal_count,valid_signal_evidence_rate,error
JBL,Jabil Inc.,complete,10-K,2025-10-17,0001628280-25-045293,technology_hardware,10,8,1.0,
SANM,Sanmina Corp.,complete,10-K,2025-11-13,0000897723-25-000042,technology_hardware,9,8,0.875,
FN,Fabrinet,complete,10-K,2025-08-19,0001408710-25-000039,technology_hardware,9,8,0.875,
AAOI,Applied Optoelectronics Inc.,complete,10-K,2026-02-26,0001437749-26-005875,telecommunications_and_networks,10,8,0.875,
LITE,Lumentum Holdings Inc.,complete,10-K,2025-08-19,0001628280-25-040830,semiconductors,10,8,0.625,
NTAP,NetApp Inc.,complete,10-K,2026-06-05,0001193125-26-259683,technology_hardware,10,8,0.625,
STX,Seagate Technology Holdings plc,complete,10-K,2025-08-01,0001137789-25-000157,technology_hardware,10,8,0.75,
WDC,Western Digital Corporation,complete,10-K,2025-08-14,0000106040-25-000038,technology_hardware,9,8,0.875,
PWR,Quanta Services Inc.,complete,10-K,2026-02-19,0001050915-26-000006,energy_and_utilities,9,8,0.875,
EME,EMCOR Group Inc.,complete,10-K,2026-02-26,0000105634-26-000025,industrials_and_infrastructure,9,8,0.625,
FIX,Comfort Systems USA Inc.,complete,10-K,2026-02-19,0001104659-26-017530,industrials_and_infrastructure,9,8,0.75,
TT,Trane Technologies plc,complete,10-K,2026-02-05,0001628280-26-005731,industrials_and_infrastructure,10,8,1.0,
CARR,Carrier Global Corporation,complete,10-K,2026-02-05,0001783180-26-000008,industrials_and_infrastructure,10,8,0.875,
JCI,Johnson Controls International plc,complete,10-K,2025-11-14,0000833444-25-000097,industrials_and_infrastructure,8,8,0.75,
DUK,Duke Energy Corporation,complete,10-K,2026-02-26,0001326160-26-000014,energy_and_utilities,8,8,1.0,
SO,Southern Company,complete,10-K,2026-02-19,0000092122-26-000006,energy_and_utilities,9,8,0.375,
AEP,American Electric Power Company Inc.,complete,10-K,2026-02-12,0000004904-26-000013,energy_and_utilities,9,6,0.8333,
PPL,PPL Corporation,complete,10-K,2026-02-20,0000922224-26-000008,energy_and_utilities,8,8,0.5,
BE,Bloom Energy Corporation,complete,10-K,2026-02-09,0001628280-26-006516,energy_and_utilities,10,8,1.0,
FLNC,Fluence Energy Inc.,complete,10-K,2025-11-25,0001868941-25-000081,energy_and_utilities,9,8,0.75,
IREN,IREN Ltd,complete,10-K,2025-08-28,0001878848-25-000063,cloud_and_data_centers,9,8,0.875,
CORZ,Core Scientific Inc.,complete,10-K,2026-03-02,0001628280-26-013305,cloud_and_data_centers,9,8,0.625,
APLD,Applied Digital Corporation,complete,10-K,2025-07-30,0001144879-25-000021,cloud_and_data_centers,9,8,0.75,
AAPL,Apple Inc.,complete,10-K,2025-10-31,0000320193-25-000079,technology_hardware,10,8,1.0,
JPM,JPMorgan Chase & Co.,complete,10-K,2026-02-13,0001628280-26-008131,financial_services,7,8,1.0,
GS,Goldman Sachs Group Inc.,complete,10-K,2026-02-25,0000886982-26-000091,financial_services,8,8,0.875,
WMT,Walmart Inc.,complete,10-K,2026-03-13,0000104169-26-000055,consumer_and_retail,8,8,0.625,
COST,Costco Wholesale Corporation,complete,10-K,2025-10-08,0000909832-25-000101,consumer_and_retail,9,8,0.875,
HD,Home Depot Inc.,complete,10-K,2026-03-18,0001628280-26-019436,consumer_and_retail,9,8,1.0,
COP,ConocoPhillips,complete,10-K,2026-02-17,0001163165-26-000009,energy_and_utilities,8,8,1.0,
CVX,Chevron Corporation,complete,10-K,2026-02-24,0000093410-26-000078,energy_and_utilities,9,8,1.0,
CAT,Caterpillar Inc.,complete,10-K,2026-02-13,0000018230-26-000008,industrials_and_infrastructure,10,8,0.875,
HON,Honeywell International Inc.,complete,10-K,2026-02-17,0000773840-26-000013,diversified_or_other,9,8,0.875,
BA,Boeing Company,complete,10-K,2026-01-30,0001628280-26-004357,aerospace_and_defense,10,8,0.625,
LMT,Lockheed Martin Corporation,complete,10-K,2026-01-29,0001628280-26-004195,aerospace_and_defense,10,8,0.875,
RTX,RTX Corporation,complete,10-K,2026-02-06,0000101829-26-000006,aerospace_and_defense,10,6,0.8333,
NOC,Northrop Grumman Corporation,complete,10-K,2026-01-27,0001133421-26-000003,aerospace_and_defense,10,8,0.625,
UNH,UnitedHealth Group Incorporated,complete,10-K,2026-03-02,0000731766-26-000062,healthcare_and_life_sciences,9,8,0.875,
JNJ,Johnson & Johnson,complete,10-K,2026-02-11,0000200406-26-000016,healthcare_and_life_sciences,9,8,0.875,
PFE,Pfizer Inc.,complete,10-K,2026-02-26,0000078003-26-000026,healthcare_and_life_sciences,8,8,1.0,
LLY,Eli Lilly and Company,complete,10-K,2026-02-12,0000059478-26-000013,healthcare_and_life_sciences,6,6,0.6667,
KO,Coca-Cola Company,complete,10-K,2026-02-20,0001628280-26-010047,consumer_and_retail,8,6,1.0,
PEP,PepsiCo Inc.,complete,10-K,2026-02-03,0000077476-26-000007,consumer_and_retail,10,6,1.0,
UPS,United Parcel Service Inc.,complete,10-K,2026-02-17,0001628280-26-008432,transportation_and_logistics,8,6,1.0,
